stop_id,stop_no,stop_name,stop_circle,stop_location,remarks,latitude,longitude,accuracy,is_geotagged,updated_user_id,updated_timestamp
88,99 A,Killipalam - Govt. High School Chalai,"V,G",In front of  School,NIL,8.4811543,76.9571103,4.5,TRUE,24,34:37.7
20,03 B,Ayurveda College - Devaswom Board,B,,NIL,8.4925005,76.9475401,2.7,TRUE,20,31:09.1
39,01 B,East Fort - Gandhi Park,"R,O,B,M",,NIL,8.4822189,76.9482244,1.9,TRUE,20,45:14.4
40,01 C,East Fort - Govt Central High School,M,,NIL,8.4815349,76.9473825,4.38,TRUE,20,47:22.2
34,75 B,Cotton Hill,G,2,NIL,8.5020629,76.9639235,3.91,TRUE,25,34:29.0
81,97 D,Karamana - SGST Office,"R,B,V",In front of SGST Ofice,NIL,8.4812216,76.9616765,8.57,TRUE,21,53:57.7
79,97 B,Karamana,M,Near bus shelter,NIL,8.4823238,76.9664472,6.8,TRUE,21,56:18.8
33,75 A,Cotton Hill,V,1,NIL,8.50207,76.9639333,1.92,TRUE,25,36:40.5
51,84 B,Forest Office,O,Opposite to Forest Office,NIL,8.5132878,76.985298,8.25,TRUE,21,34:57.8
67,80 D,Jagathy - Govt High School,Y,In front of School,NIL,8.5005641,76.9680897,88.95,TRUE,24,42:20.5
65,80 B,Jagathy,M,Opposite to HEERA,NIL,8.4949857,76.9645525,19.54,TRUE,24,55:23.5
21,03 C,Ayurveda College - Kunnampuram Road,"R,O",Near Ayurveda College,NIL,8.4911679,76.9462148,7.2,TRUE,21,31:16.7
59,25 B,Govt. Eye Hospital,"O,G",Opposite,NIL,8.4994576,76.940807,3.67,TRUE,22,46:41.3
55,26 B,General Hospital,O,Opposite,NIL,8.4994447,76.9430216,1.75,TRUE,22,49:30.4
54,26 A,General Hospital,O,Infront of Hospital,NIL,8.4993555,76.943028,7.21,TRUE,21,49:33.9
83,06 B,Kerala University,Y,Airport Road,NIL,8.5022812,76.9479388,1.8,TRUE,22,53:41.4
